Edge Coord
:b14_0 (333.289,184.077,1.895)
:b15_0 (1381.11,646.941,1.895)
:b15_1 (1379.49,657.74,1.895)
:b15_11 (1383.38,661.671,1.895)
:b15_12 (1380.03,659.344,1.895)
:b15_2 (1389.59,653.525,1.895)
:b15_3 (1391.01,654.481,1.895)
:b15_5 (1385.52,659.456,1.895)
:b15_6 (1385.86,662.618,1.895)
:b15_7 (1383.76,664.357,1.895)
:b16_0 (124.624,704.69,1.895)
:b17_2 (228.16,619.382,1.895)
:b18_0 (537.752,746.428,1.895)
:b18_1 (538.324,745.623,1.895)
:b18_10 (542.264,753.491,1.895)
:b18_11 (530.963,748.738,1.895)
:b18_12 (544.233,754.484,1.895)
:b18_13 (534.321,749.755,1.895)
:b18_14 (531.458,745.145,1.895)
:b18_15 (539.741,749.545,1.895)
:b18_2 (538.272,746.105,1.895)
:b18_3 (540.439,743.908,1.895)
:b18_4 (544.66,750.876,1.895)
:b18_5 (543.714,750.588,1.895)
:b18_6 (543.141,753.249,1.895)
:b18_7 (540.622,754.769,1.895)
:b18_8 (537.39,754.057,1.895)
:b18_9 (533.295,752.462,1.895)
:b19_0 (633.646,535.519,1.895)
:b19_1 (633.537,538.185,1.895)
:b19_10 (631.932,532.261,1.895)
:b19_2 (635.487,535.07,1.895)
:b19_3 (638.019,537.737,1.895)
:b19_4 (638.02,536.281,1.895)
:b19_5 (636.645,537.199,1.895)
:b19_6 (633.927,540.032,1.895)
:b19_8 (632.305,536.443,1.895)
:b19_9 (639.17,540.105,1.895)
:b20_0 (460.233,891.42,1.895)
:b20_1 (461.095,896.741,1.895)
:b21_0 (386.594,993.013,1.895)
:b22_0 (469.45,907.236,1.895)
:b22_2 (464.554,910.762,1.895)
:b23_0 (825.669,859.792,1.895)
:b23_1 (824.684,862.799,1.895)
:b23_10 (820.814,868.935,1.895)
:b23_2 (827.193,858.165,1.895)
:b23_3 (818.941,860.714,1.895)
:b23_4 (828.42,864.617,1.895)
:b23_9 (823.002,865.89,1.895)
:b24_0 (508.349,474.89,1.895)
:b24_1 (508.925,480.061,1.895)
:b26.-170_0 (693.771,810.584,1.895)
:b26_2 (736.908,578.133,1.895)
:b26_3 (743.001,573.94,1.895)
:b27_0 (973.437,469.157,1.895)
:b27_2 (977.77,471.561,1.895)
:b27_3 (973.326,475.399,1.895)
:b27_4 (974.62,472.293,1.895)
:b27_5 (974.23,478.585,1.895)
:b28_0 (901.802,659.933,1.895)
:b28_1 (903.742,657.741,1.895)
:b28_2 (900.626,660.113,1.895)
:b29_0 (1166.86,555.963,1.895)
:b29_2 (1171.28,562.149,1.895)
:b29_4 (1170.72,560.059,1.895)
:b29_5 (1167.76,564.175,1.895)
:b29_6 (1169.44,564.515,1.895)
:b29_7 (1165.89,564.398,1.895)
:b2_0 (751.979,1049.38,1.895)
:b2_1 (756.118,1053.28,1.895)
:b30_0 (1405.16,671.58,1.895)
:b31_0 (1440.13,687.166,1.895)
:b32_0 (1007.54,936.522,1.895)
:b32_1 (1012.71,935.308,1.895)
:b32_10 (1007.54,939.387,1.895)
:b32_12 (1013.73,941.389,1.895)
:b32_14 (1011.52,938.79,1.895)
:b32_2 (1012.4,937.016,1.895)
:b32_4 (1005.41,935.001,1.895)
:b32_6 (1012.82,943.993,1.895)
:b32_7 (1015.36,937.694,1.895)
:b32_8 (1012.96,942.278,1.895)
:b32_9 (1005.38,938.592,1.895)
:b33_0 (1091.95,742.846,1.895)
:b33_1 (1091.05,746.968,1.895)
:b33_2 (1094.07,739.729,1.895)
:b33_3 (1097.29,745.69,1.895)
:b33_4 (1097.86,739.221,1.895)
:b33_5 (1098.04,748.964,1.895)
:b34_0 (1126.11,663.011,1.895)
:b34_2 (1127.03,659.964,1.895)
:b34_3 (1132.51,656.211,1.895)
:b35_0 (973.697,1010.62,1.895)
:b35_3 (985.1,1011.12,1.895)
:b39_0 (1223.8,1019.17,1.895)
:b39_1 (1223.31,1020.33,1.895)
:b39_5 (1221.82,1023.3,1.895)
:b39_6 (1219.88,1021.98,1.895)
:b39_8 (1225.25,1022.29,1.895)
:b3_0 (473.453,947.101,1.895)
:b3_2 (473.134,950.721,1.895)
:b3_5 (467.604,960.21,1.895)
:b40_0 (1299.01,843.965,1.895)
:b40_2 (1304.93,838.542,1.895)
:b40_3 (1298.37,838.471,1.895)
:b42_0 (1332.75,756.459,1.895)
:b42_1 (1334.99,759.989,1.895)
:b42_2 (1342.88,755.896,1.895)
:b43_0 (1417,587.063,1.895)
:b43_2 (1422.74,587.62,1.895)
:b4_0 (384.887,184.175,1.895)
:b4_1 (383.96,188.374,1.895)
:b4_11 (391.529,203.877,1.895)
:b4_12 (383.541,206.238,1.895)
:b4_13 (381.71,200.222,1.895)
:b4_14 (385.008,195.649,1.895)
:b4_15 (389.971,200.624,1.895)
:b4_16 (384.511,202.486,1.895)
:b4_17 (386.644,205.136,1.895)
:b4_18 (384.199,193.19,1.895)
:b4_19 (390.806,188.095,1.895)
:b4_3 (388.089,185.251,1.895)
:b4_4 (403.326,194.46,1.895)
:b4_5 (391.888,193.739,1.895)
:b4_6 (393.413,198.545,1.895)
:b4_8 (394.761,208.207,1.895)
:b4_9 (393.357,211.149,1.895)
:b5_2 (251.456,555.528,1.895)
:b7_0 (325.017,384.829,1.895)
:b7_2 (341.472,381.482,1.895)
:b7_3 (342.268,384.613,1.895)
:b7_4 (339.96,384.718,1.895)
:b9_13 (869.475,421.618,1.895)
:b9_16 (871.154,421.662,1.895)
:b9_17 (871.161,417.172,1.895)
:b9_18 (880.892,406.816,1.895)
:b9_20 (879.838,410.661,1.895)
:b9_25 (875.345,420.743,1.895)
:b9_7 (888.118,423.088,1.895)
:b9_8 (886.606,422.192,1.895)
:b9_9 (880.379,423.089,1.895)
:ba9_0 (838.518,385.745,1.895)
:bm0_0 (401.194,925.244,1.895)
:bm0_1 (402.572,925.277,1.895)
a1 (1866.65,1097.31,1.895)
a103 (750.575,1580.57,1.895)
a104 (680.383,1753.03,1.895)
a109[0] (1664.69,1331.21,1.895)
a109[1][0]+20003 (1705.05,1336.29,1.895)
a109[1][1] (1732.52,1339.47,1.895)
a11 (945.974,1129.11,1.895)
a110 (1747.46,1337.73,1.895)
a113 (1929.48,1389.95,1.895)
a115 (1910.21,1365.23,1.895)
a116 (1773.58,1345.06,1.895)
a117 (1825.54,1506.27,1.895)
a118 (1935.34,1470.87,1.895)
a119 (1809.38,1499.88,1.895)
a120 (1762.19,1360.13,1.895)
a122 (1575.81,1115.06,1.895)
a124 (1819.15,877.308,1.895)
a125 (1826.69,852.911,1.895)
a127 (837.548,1358.53,1.895)
a13 (662.75,1800.67,1.895)
a131 (1890.21,1835.66,1.895)
a133 (2131.68,1409.24,1.895)
a134 (1952.42,1366.43,1.895)
a134b (1979.38,1373.22,1.895)
a14 (687.683,1725.5,1.895)
a15 (784.686,1699.66,1.895)
a153 (1122.77,1707.46,1.895)
a159 (1384.71,1803.53,1.895)
a16 (707.7,1713.62,1.895)
a160 (1178.23,1739.02,1.895)
a161 (1354.61,1109.95,1.895)
a17 (1169.41,1124.71,1.895)
a171 (1338.75,1283.57,1.895)
a18 (1184.41,1106.25,1.895)
a181 (1215.96,1035.82,1.895)
a185 (1641.21,1325.18,1.895)
a186 (1596.03,1323.62,1.895)
a187 (1231.82,1315.77,1.895)
a188 (1163.07,1327.72,1.895)
a189[0] (933.711,1375.28,1.895)
a189[1][0]+20000 (946.525,1372.62,1.895)
a189[1][1] (987.064,1363.94,1.895)
a19 (825.841,1563.5,1.895)
a190 (1145.18,1326.94,1.895)
a194 (1557.69,1135.45,1.895)
a195 (1357.54,1940.3,1.895)
a1b (1795.83,1117.66,1.895)
a2 (1819.02,1126.15,1.895)
a200 (1707.73,1562.57,1.895)
a20001+87[1][0] (1271.94,1312.86,1.895)
a20002+89[1][0] (1472.14,1312.19,1.895)
a201 (1934.64,1340.78,1.895)
a201c (1878,1108.87,1.895)
a202 (1863.2,1125.69,1.895)
a203[0] (2137.53,603.24,1.895)
a203[1] (1801.07,881.27,1.895)
a203[1]b (1856.02,1109.63,1.895)
a204[1][0] (1842.45,873.916,1.895)
a204[1][1] (1841.11,850.239,1.895)
a204a[0] (1871.35,1080.62,1.895)
a204b[0] (1835.34,885.873,1.895)
a206 (928.303,1828.2,1.895)
a209 (1950.35,1486.64,1.895)
a210 (2060.54,1856.78,1.895)
