Edge Coord Position-Lane Info
:a20c_1 (825.221,1415.67,1.895) 0.00778693 car[19]_at:43.7_Dist:2.585896 car[39]_at:49.6_Dist:1.138552 car[68]_at:59.1_Dist:0.207572 car[164]_at:90.1_Dist:0.136865 car[211]_at:106.1_Dist:0.101776 car[831]_at:307.1_Dist:0.082105 car[1830]_at:636.5_Dist:0.036239 car[2877]_at:971.1_Dist:0.010992 car[6281]_at:2063.1_Dist:0.009102 car[10658]_at:3613.8_Dist:0.007787
:a21_0 (796.308,1488.45,1.895) 0.00191441 car[82]_at:105.1_Dist:3.173990 car[243]_at:114.1_Dist:2.216749 car[306]_at:124.1_Dist:0.075594 car[763]_at:336.1_Dist:0.001914
:a21m_0 (806.522,1444.49,1.895) 0.0268698 car[168]_at:167.1_Dist:0.830672 car[505]_at:607.7_Dist:0.026870
:a21m_1 (805.825,1447.93,1.895) 0.010368 car[61]_at:55.8_Dist:5.306575 car[77]_at:60.6_Dist:4.444602 car[174]_at:92.1_Dist:4.444329 car[183]_at:94.5_Dist:1.138572 car[258]_at:119.1_Dist:0.034148 car[317]_at:138.1_Dist:0.026491 car[4988]_at:1645.4_Dist:0.010368
:a23_1 (897.075,1223.95,1.895) 0.0444521 car[168]_at:144.1_Dist:6.479873 car[320]_at:182.1_Dist:1.145496 car[781]_at:471.1_Dist:0.677813 car[960]_at:564.1_Dist:0.046848 car[1064]_at:589.1_Dist:0.044452
:a23_2 (902.193,1224.88,1.895) 0.19077 car[57]_at:75.1_Dist:3.286383 car[1431]_at:555.1_Dist:1.342843 car[2213]_at:821.1_Dist:0.715660 car[3026]_at:1059.1_Dist:0.503828 car[9171]_at:3006.1_Dist:0.190770
:a23_3 (908.019,1217.52,1.895) 0.0075208 car[3]_at:58.1_Dist:12.677425 car[32]_at:64.2_Dist:2.626964 car[46]_at:69.8_Dist:1.937270 car[52]_at:71.3_Dist:0.041435 car[1499]_at:545.5_Dist:0.007521
:a25_1 (1018.51,1849.4,1.895) 0.0403468 car[178]_at:85.1_Dist:2.495765 car[577]_at:216.6_Dist:1.050455 car[1894]_at:647.6_Dist:0.682071 car[2437]_at:821.1_Dist:0.410120 car[3683]_at:1221.4_Dist:0.391775 car[7735]_at:2521.1_Dist:0.088265 car[9683]_at:3148.1_Dist:0.040347
:a26_0 (1968.42,1364.6,1.895) 0.34942 car[384]_at:161.1_Dist:7.945906 car[1114]_at:401.1_Dist:7.064464 car[1892]_at:676.4_Dist:6.911204 car[4181]_at:1405.6_Dist:5.341970 car[7837]_at:2560.1_Dist:0.349420
:a26_3 (1970.07,1370.93,1.895) 0.00587513 car[126]_at:77.6_Dist:4.112519 car[264]_at:147.1_Dist:2.331865 car[411]_at:169.1_Dist:1.751993 car[412]_at:279.1_Dist:0.794809 car[799]_at:459.1_Dist:0.219035 car[1578]_at:593.1_Dist:0.045731 car[6160]_at:2039.1_Dist:0.005875
:a27_1 (1948.32,1359.69,1.895) 0.268 car[384]_at:181.1_Dist:0.319370 car[1114]_at:451.1_Dist:0.268000
